N, Running Time
36, 77
36, 111
36, 95
36, 86
36, 71
36, 71
36, 150
36, 94
36, 99
36, 140
48, 130
48, 181
48, 83
48, 109
48, 56
48, 53
48, 109
48, 62
48, 65
48, 53
60, 59
60, 104
60, 175
60, 93
60, 59
60, 113
60, 98
60, 158
60, 137
60, 109
72, 101
72, 236
72, 126
72, 104
72, 115
72, 64
72, 134
72, 125
72, 158
72, 124
84, 100
84, 68
84, 82
84, 150
84, 111
84, 202
84, 68
84, 104
84, 101
84, 261
96, 224
96, 191
96, 140
96, 110
96, 139
96, 166
96, 133
96, 130
96, 136
96, 76
108, 127
108, 183
108, 183
108, 157
108, 150
108, 132
108, 273
108, 166
108, 270
108, 312
120, 222
120, 154
120, 154
120, 147
120, 138
120, 136
120, 139
120, 149
120, 284
120, 137
132, 322
132, 299
132, 146
132, 165
132, 222
132, 107
132, 341
132, 115
132, 191
132, 252
144, 225
144, 362
144, 193
144, 176
144, 265
144, 188
144, 236
144, 326
144, 210
144, 275
156, 210
156, 370
156, 279
156, 159
156, 389
156, 474
156, 416
156, 129
156, 294
156, 284
168, 217
168, 274
168, 317
168, 296
168, 342
168, 195
168, 377
168, 251
168, 269
168, 371
180, 149
180, 364
180, 340
180, 327
180, 428
180, 265
180, 314
180, 274
180, 267
180, 188
192, 439
192, 249
192, 140
192, 296
192, 285
192, 122
192, 205
192, 253
192, 146
192, 155
204, 187
204, 310
204, 290
204, 341
204, 333
204, 172
204, 490
204, 277
204, 483
204, 414
216, 182
216, 350
216, 302
216, 138
216, 443
216, 434
216, 369
216, 381
216, 171
216, 418
228, 278
228, 285
228, 235
228, 350
228, 284
228, 236
228, 207
228, 174
228, 234
228, 222
240, 267
240, 380
240, 456
240, 211
240, 239
240, 276
240, 346
240, 271
240, 279
240, 171
252, 508
252, 319
252, 350
252, 363
252, 225
252, 423
252, 364
252, 493
252, 420
252, 257
264, 314
264, 203
264, 536
264, 222
264, 175
264, 182
264, 308
264, 280
264, 268
264, 226
276, 444
276, 278
276, 289
276, 509
276, 539
276, 320
276, 264
276, 243
276, 523
276, 450
288, 594
288, 567
288, 218
288, 539
288, 293
288, 262
288, 598
288, 487
288, 1073
288, 420
300, 357
300, 283
300, 687
300, 483
300, 662
300, 365
300, 275
300, 611
300, 379
300, 477
312, 592
312, 394
312, 186
312, 249
312, 350
312, 726
312, 467
312, 535
312, 580
312, 309
324, 306
324, 299
324, 340
324, 455
324, 181
324, 251
324, 424
324, 776
324, 368
324, 651
336, 714
336, 736
336, 754
336, 605
336, 438
336, 546
336, 295
336, 550
336, 441
336, 515
348, 277
348, 701
348, 311
348, 312
348, 354
348, 469
348, 364
348, 346
348, 352
348, 316
360, 407
360, 377
360, 231
360, 897
360, 435
360, 391
360, 194
360, 799
360, 327
360, 271
64, 168
64, 137
64, 152
64, 120
64, 99
64, 146
64, 123
64, 80
64, 113
64, 120
80, 102
80, 129
80, 141
80, 135
80, 200
80, 158
80, 131
80, 229
80, 71
80, 240
96, 109
96, 109
96, 107
96, 200
96, 126
96, 129
96, 205
96, 183
96, 84
96, 221
112, 163
112, 293
112, 258
112, 184
112, 182
112, 200
112, 230
112, 244
112, 227
112, 196
128, 141
128, 90
128, 216
128, 152
128, 213
128, 150
128, 272
128, 286
128, 205
128, 199
144, 113
144, 385
144, 263
144, 243
144, 244
144, 124
144, 101
144, 176
144, 179
144, 152
160, 252
160, 171
160, 108
160, 315
160, 193
160, 282
160, 179
160, 171
160, 307
160, 265
176, 279
176, 235
176, 196
176, 327
176, 125
176, 241
176, 260
176, 337
176, 166
176, 287
192, 155
192, 346
192, 403
192, 124
192, 450
192, 471
192, 455
192, 175
192, 283
192, 239
208, 583
208, 159
208, 507
208, 453
208, 316
208, 152
208, 157
208, 153
208, 225
208, 209
224, 231
224, 330
224, 289
224, 195
224, 433
224, 414
224, 139
224, 209
224, 173
224, 417
240, 295
240, 263
240, 478
240, 364
240, 151
240, 452
240, 657
240, 526
240, 500
240, 257
256, 387
256, 416
256, 381
256, 174
256, 214
256, 218
256, 276
256, 285
256, 243
256, 243
272, 257
272, 269
272, 579
272, 236
272, 220
272, 340
272, 351
272, 150
272, 284
272, 416
288, 321
288, 326
288, 246
288, 378
288, 344
288, 276
288, 399
288, 429
288, 422
288, 468
304, 556
304, 178
304, 431
304, 456
304, 443
304, 406
304, 536
304, 279
304, 463
304, 218
320, 491
320, 260
320, 301
320, 453
320, 341
320, 388
320, 348
320, 332
320, 316
320, 322
336, 332
336, 339
336, 185
336, 189
336, 300
336, 305
336, 285
336, 348
336, 387
336, 197
352, 215
352, 510
352, 395
352, 324
352, 221
352, 508
352, 201
352, 371
352, 534
352, 543
368, 314
368, 549
368, 585
368, 656
368, 346
368, 278
368, 207
368, 266
368, 763
368, 248
384, 829
384, 547
384, 317
384, 415
384, 321
384, 211
384, 467
384, 228
384, 277
384, 750
400, 679
400, 229
400, 896
400, 221
400, 343
400, 617
400, 309
400, 487
400, 273
400, 335
416, 292
416, 267
416, 525
416, 490
416, 361
416, 435
416, 357
416, 308
416, 412
416, 318
432, 381
432, 600
432, 731
432, 608
432, 389
432, 316
432, 514
432, 392
432, 427
432, 344
448, 335
448, 392
448, 407
448, 831
448, 754
448, 804
448, 386
448, 385
448, 578
448, 444
464, 412
464, 269
464, 526
464, 441
464, 446
464, 401
464, 1038
464, 518
464, 539
464, 418
480, 502
480, 708
480, 327
480, 288
480, 978
480, 395
480, 983
480, 957
480, 1027
480, 906
100, 203
100, 122
100, 119
100, 101
100, 84
100, 204
100, 80
100, 127
100, 95
100, 106
120, 212
120, 108
120, 122
120, 204
120, 165
120, 140
120, 92
120, 198
120, 143
120, 90
140, 140
140, 108
140, 170
140, 116
140, 173
140, 144
140, 104
140, 97
140, 97
140, 95
160, 179
160, 217
160, 105
160, 123
160, 128
160, 106
160, 199
160, 233
160, 159
160, 247
180, 117
180, 175
180, 173
180, 173
180, 191
180, 174
180, 220
180, 271
180, 137
180, 261
200, 298
200, 261
200, 146
200, 204
200, 188
200, 179
200, 325
200, 197
200, 321
200, 430
220, 478
220, 170
220, 181
220, 146
220, 234
220, 164
220, 134
220, 135
220, 521
220, 449
240, 158
240, 296
240, 199
240, 281
240, 147
240, 226
240, 256
240, 164
240, 160
240, 169
260, 304
260, 325
260, 247
260, 421
260, 210
260, 270
260, 189
260, 292
260, 302
260, 597
280, 265
280, 257
280, 444
280, 403
280, 471
280, 577
280, 300
280, 172
280, 776
280, 585
300, 355
300, 407
300, 380
300, 260
300, 656
300, 500
300, 228
300, 182
300, 183
300, 170
320, 687
320, 260
320, 701
320, 726
320, 544
320, 330
320, 218
320, 421
320, 596
320, 778
340, 285
340, 418
340, 219
340, 344
340, 499
340, 323
340, 254
340, 187
340, 408
340, 400
360, 441
360, 339
360, 343
360, 480
360, 522
360, 473
360, 325
360, 623
360, 484
360, 215
